"VaR","ES"
-0.0107479051099835,-0.0147275399908364
-0.0114428059307265,-0.0156856776598691
-0.0110649074569697,-0.0145466126722298
-0.0118417995784038,-0.014980252969123
-0.0114750774954402,-0.0149837384331873
-0.0110990357860388,-0.0146017025918001
-0.0111670042354033,-0.0146495997004202
-0.0113231748868691,-0.0157226414021277
-0.0110732643878346,-0.0147760525930251
-0.0111062028316505,-0.0147794003527193
-0.0115396184186978,-0.0146897483678124
-0.0114397673542508,-0.0151088255139201
-0.0114385789125645,-0.0147342877697261
-0.0111063760699326,-0.014784751814538
-0.0108232718773211,-0.0140873464589514
-0.0104470367552141,-0.0138697562648217
-0.0101352267490517,-0.0135774827504975
-0.0100278763003025,-0.013311429887364
-0.00997411358762936,-0.0129896054877966
-0.0106481907693791,-0.0135196798728379
-0.0101209975671327,-0.0134180171672983
-0.0096365791324964,-0.0128380269716024
-0.00934983318193419,-0.0123859227836784
-0.00964384168536549,-0.0126494825040857
-0.00938312959309826,-0.0128130535168624
-0.00965708037443736,-0.0126466080114577
-0.00920493208376609,-0.0122383873949292
-0.00891549807882744,-0.0119690837458299
-0.00931729836273261,-0.0128445808352442
-0.0095820255148963,-0.0126015158010232
-0.00934912582633741,-0.0125537372722853
-0.00903023094468753,-0.012060506790832
-0.00861534650822233,-0.0116649129594587
-0.0102825516197538,-0.0142415696885633
-0.0109183681784686,-0.0144361501846915
-0.012250415112596,-0.0153348021430819
-0.0113541339894487,-0.0148216807621306
-0.0117022693813417,-0.0150679737535475
-0.0123361858644484,-0.0168151974489626
-0.0118864300882795,-0.0155123292785247
-0.0113172913549348,-0.0148736928884417
-0.0106571075735051,-0.0142369333487028
-0.0102331155198505,-0.013680811226245
-0.0106599520540788,-0.0144641087704944
-0.0102912272508829,-0.0135750706798246
-0.0113262295233029,-0.0154820036883066
-0.0111531582979438,-0.0151016501318978
-0.0112900737846647,-0.0148300193353562
-0.0110009905393812,-0.014408588439194
-0.0256003895377725,-0.0341008606171835
-0.0231687742671648,-0.0285569337433729
-0.023476471763177,-0.0304872093936127
-0.0225612614967493,-0.0287139455923184
-0.0224881921427601,-0.0277767523658016
-0.020622538471962,-0.0261317840075407
-0.0212543408473663,-0.0260870274919789
-0.0214807286569696,-0.0261615774734272
-0.019519105689563,-0.0246787941160466
-0.0185433177001476,-0.0239992690887775
-0.0176925927110962,-0.0221728336477936
-0.0163825396931436,-0.0211509011371219
-0.0156738815329868,-0.0205454536993708
-0.0154277559102043,-0.0194850712752969
-0.0148154749332177,-0.018945136787019
-0.0141368639953531,-0.0186899127568525
-0.0150536081656511,-0.0201508183217559
-0.0167084463929291,-0.0205525324474902
-0.0164003657456883,-0.0204038899393646
-0.0153322632904583,-0.0194437301867367
-0.0158093362672199,-0.0196733953603423
-0.0145005332481611,-0.0187167549809927
-0.0136267260861784,-0.0176676172576699
-0.0128756361607611,-0.0167278865929314
-0.0124735304311551,-0.0165013414571208
-0.0122451247212308,-0.0161169532503264
-0.0117663513782942,-0.0153265800958254
-0.0129403175744012,-0.0173324785320375
-0.0126481706129463,-0.0165691649648312
-0.0120512727918795,-0.0160000332232176
-0.0115703083948048,-0.0153669473993752
-0.0131176519042327,-0.0163560153756808
-0.0124497186855504,-0.0160321386103218
-0.0118223197302311,-0.0159629504332038
-0.0118412756925084,-0.01550935055402
-0.0120010168453989,-0.016174266938353
-0.0122395596817317,-0.0159712749899158
-0.0118787029077824,-0.0159291487291892
-0.0121510514212181,-0.0166493964715909
-0.0121723654802699,-0.0160402535357171
-0.0122004553957079,-0.0160253147973943
-0.0121885515883772,-0.0161052617783874
-0.0120851114565715,-0.0162506255930768
-0.0139893096438523,-0.0174256681486363
-0.0142142148553683,-0.0177089316717929
-0.0132077494953335,-0.0170303821635343
-0.0128961955016769,-0.0164691953071765
-0.0129265145774856,-0.0173743498949408
-0.0129112604048964,-0.0166070092559502
-0.0120946823071454,-0.0159838244581689
-0.0119664824195668,-0.0157319703115904
-0.0126955101937455,-0.016063733671972
-0.0130730070975193,-0.0176513746847838
-0.0138129929199421,-0.0180201301871679
-0.0136156379009251,-0.0175084337900031
-0.0138223514240194,-0.0179659208330663
-0.0134391462154439,-0.0171735295648977
-0.0131635886519553,-0.0176909426409729
-0.0126913605135562,-0.0167976110604879
-0.0122263348775686,-0.016149981321203
-0.0124220085256739,-0.0168598229668865
-0.013038042353924,-0.0164159894817877
-0.0133595170376624,-0.0170936439573492
-0.0145269558139577,-0.0182946650677473
-0.0182809444403977,-0.0226388320127958
-0.0201180226787047,-0.0246307622856576
-0.0186133759179358,-0.0238634406105261
-0.020983074567878,-0.0257466397572449
-0.0201749153992609,-0.0259283534664728
-0.0197895470727233,-0.0247721097078494
-0.0247578262331107,-0.0316794761197382
-0.0234700336841042,-0.0297861877901312
-0.0222787520723863,-0.0281736380712181
-0.0225762628861024,-0.0293624648874515
-0.0232709070876389,-0.0293868122126609
-0.0221915975122575,-0.0275311600154732
-0.0247470036122698,-0.0297358617591166
-0.0228582545404593,-0.0283103230849544
-0.0232845587427945,-0.0287642173679402
-0.0215302823208929,-0.0269813307914172
-0.0205013492941557,-0.0258151356207164
-0.0194904230525113,-0.0244113105081307
-0.0182810298480495,-0.0231090340640747
-0.0192958419672984,-0.0249133076708939
-0.018848352972206,-0.0237833828584533
-0.0182861579022934,-0.0229813380141729
-0.0195793706708469,-0.0257417609847967
-0.0187805653089664,-0.0239666118601153
-0.0186662563055179,-0.0231507811857635
-0.0174226360390644,-0.0228475970033864
-0.0183105487540072,-0.0240829300588371
-0.0175178891545133,-0.0222419238455291
-0.0166113664019864,-0.0211583878933132
-0.0170681524295584,-0.0227071827560414
-0.0191387782480231,-0.0236473603160199
-0.018950431891705,-0.0233718402276701
-0.0177461201408657,-0.022893936848965
-0.016799040294512,-0.0213657997970779
-0.0174302998443403,-0.0224222351647859
-0.0166530960219687,-0.0211759436716545
-0.0156811953400057,-0.0205581671247472
-0.016265861373107,-0.0218284859264946
-0.016469209901913,-0.0214404947482639
-0.0166662174776465,-0.0216994921997906
-0.015838734382331,-0.0204423468990963
-0.0172737084050392,-0.0210917521840506
-0.018919571824678,-0.0250596813966132
-0.0188513431750237,-0.0242144403324873
-0.0181934378295442,-0.0231573507551887
-0.0205075843797353,-0.0246854677558772
-0.0202407344063342,-0.026613705628029
-0.0195443473174658,-0.0248802546654338
-0.0235503099288184,-0.0310798265737475
-0.0233675414508446,-0.029662559280702
-0.0239486836022038,-0.0297223537778709
-0.0220908680075307,-0.0279498390237129
-0.0228821731282677,-0.0279335466204219
-0.0215996955399207,-0.0270059055141283
-0.0206804846657201,-0.0257714292899178
-0.0212889062123666,-0.0280200952302094
-0.0207256261693039,-0.0259708967655429
-0.0193705667648341,-0.0243832862853507
-0.0187701693348763,-0.023643525603997
-0.0175845199328092,-0.0224140677360207
-0.0165943180553067,-0.0210678044410635
-0.0170297012937539,-0.0210104607471907
-0.0176010823055601,-0.0216697115827069
-0.0163862501393652,-0.0213691467889475
-0.0155938828470437,-0.020239171685251
-0.0160487811759979,-0.0198381727100896
-0.0152440171030379,-0.0200765769613694
-0.0145816042402708,-0.018958278346124
-0.0145054956606162,-0.0183095582033788
-0.0144340145382279,-0.0188370964638983
-0.0150174383531794,-0.0200670313881447
-0.0159367600577765,-0.0212014483436277
-0.0207669995156614,-0.0277269392022287
-0.0204490355748392,-0.0262849561465312
-0.0205386314980997,-0.0256559869319947
-0.0204656667711025,-0.0263486468844711
-0.0213662625804535,-0.0274891684807502
-0.0211035329410771,-0.0260054864695065
-0.0201494206613662,-0.0256934757194105
-0.0194431796306133,-0.0245203117030173
-0.0205458766684301,-0.0249344757863625
-0.0188426987263407,-0.0239552520494499
-0.0181127157247237,-0.0234204013586406
-0.0172435067617071,-0.0221557936474865
-0.016927213424552,-0.0221656679569484
-0.017291653397594,-0.0215290224851235
-0.0197303215347645,-0.0258491753488662
-0.0188974911827495,-0.0242559795418212
-0.0192413783081871,-0.0236587596358548
-0.0178655672717811,-0.0226429788085425
-0.0166333556006777,-0.0215999085673697
-0.0193496398317464,-0.0254933086641083
-0.0184404621219432,-0.0234046511631513
-0.0173717309970771,-0.0225355494913163
-0.0178073580070175,-0.0219859875938299
-0.0178915587718928,-0.0225379308433903
-0.0187252457379759,-0.0229360156552839
-0.0173099746015344,-0.0221705688009323
-0.0179586345510157,-0.0229564145268608
-0.0169322088374174,-0.0218170105914805
-0.016093061433263,-0.0205159295916539
-0.0151908783648257,-0.0200099379706494
-0.0159235662271106,-0.0195862969552379
-0.0165758636172581,-0.0206604934189797
-0.016300057207095,-0.0202275621750207
-0.0161915753860664,-0.021131360961227
-0.0155938857387114,-0.0202711386315644
-0.0157542156440087,-0.0202276807203921
-0.0150261338584727,-0.0193978167801498
-0.0141249508500088,-0.0184943768823717
-0.01406417072578,-0.0178773783753116
-0.0130869816784641,-0.0171332834568231
-0.0138110712312419,-0.0172470191557884
-0.0131456191346301,-0.0170366253281044
-0.0135184660363554,-0.0172279069786697
-0.0131674386352622,-0.0174166282495859
-0.0132403737809549,-0.0175225102268709
-0.0128188953061761,-0.0168913795964197
-0.0127838047076165,-0.0164116432597826
-0.012474450311249,-0.0167758156153351
-0.0136043609471111,-0.0183918594346775
-0.0143048984082341,-0.0181823226004877
-0.0135045091038199,-0.0173768102453552
-0.0136472780332777,-0.01743276191393
-0.0148498864193002,-0.0200888726994981
-0.015344750516073,-0.0195830870280122
-0.0166301027369262,-0.0221589611520775
-0.0163781764352532,-0.0214878908474675
-0.0163467994017872,-0.0213636974213367
-0.0157444709455622,-0.0203657317659855
-0.0149055718685082,-0.0194728067191152
-0.016306794451936,-0.0207550742402189
-0.0154976079616185,-0.0196731682136193
-0.0163340925003029,-0.0201124990522173
-0.0154843035984976,-0.0194830783114587
-0.0182572049891598,-0.024553509717759
-0.0178586860105712,-0.0226039014801616
-0.0183514639906098,-0.0242100559730848
-0.0175335502925492,-0.0225264809622093
-0.0166518354657644,-0.0210557495805772
-0.0167298568456714,-0.0219611518803533
-0.0166905322303875,-0.02181983226139
-0.0162002506413094,-0.0210438796286124
-0.018366825991177,-0.024433247984116
-0.0197183865943012,-0.0257763622857626
-0.0192636778320073,-0.0244265874912869
-0.0224180002794331,-0.0267410757142196
-0.0217260418456718,-0.0280680598604435
-0.0211251791496963,-0.0271965818511006
-0.0242670700754541,-0.0288794244736447
-0.0252365198977362,-0.0302269996941359
-0.0234490249452275,-0.0295021470427625
-0.0227503489314872,-0.0288315069034788
-0.0235041095956472,-0.0299244792109271
-0.0225756376956737,-0.0290348633881904
-0.0216377203252728,-0.027429153314563
-0.0207507837631865,-0.0265137778476954
-0.0212515743570623,-0.0259572671652059
-0.0220218874011141,-0.0289083477575148
-0.0233567838472751,-0.0284987727741553
-0.0222168840017262,-0.0279165788682321
-0.0218661679039461,-0.0277198873585421
-0.0205849755983973,-0.0262259356321407
-0.0202619647695932,-0.0250446658541284
-0.0189982971948383,-0.0238891858200542
-0.0205651251347833,-0.025181822407199
-0.0197601227631949,-0.0247326019911493
-0.018582469194656,-0.0235541465929197
-0.0186031338465362,-0.0232958516147281
-0.017490640213557,-0.0226695057011538
-0.0170575968321345,-0.0215518263812502
-0.0174707840894524,-0.0228021208779844
-0.0171029453519662,-0.0224353110988369
-0.0194316769672312,-0.0235190402045904
-0.0179266141655834,-0.0226850332796635
-0.0175107784945484,-0.0221199567608571
-0.0177835685674824,-0.023471449481667
-0.0284464363024763,-0.033220535766303
-0.026495316273023,-0.0324457372164662
-0.0256090175097795,-0.0324971221913717
-0.0246523357408278,-0.0303817088865386
-0.023064904087799,-0.0291394878615955
-0.0229476524224978,-0.0294476056493431
-0.0220319207675764,-0.0278311785171819
-0.0206324953370335,-0.0262330171674409
-0.0201672992510089,-0.0249004211081112
-0.0194474621953806,-0.0246375220862294
-0.0186185496284648,-0.0237563725400934
-0.0186261087702229,-0.0240512378590238
-0.018077655472727,-0.0228799212092382
-0.0201598954061355,-0.0243340819797803
-0.0193437604733728,-0.0238752579275895
-0.0180490234131459,-0.0230719840800148
-0.0194481719696745,-0.0257042472959227
-0.0197990487460874,-0.0256167234605736
-0.0193688889885634,-0.0245820989618001
-0.0183943229104576,-0.0232136356892106
-0.0173547148243714,-0.0224438188446573
-0.0176557564397943,-0.021937832530736
-0.018505315681391,-0.0227073637689817
-0.0175581871588894,-0.0223248161808306
-0.0177459799801195,-0.0235130395226323
-0.0187138888529603,-0.0242769494096384
-0.0181646178600504,-0.0233358623116841
-0.0173962557004778,-0.0219576141302104
-0.0176872976532865,-0.0218578253112773
-0.0166564782157118,-0.0219159781628207
-0.0167221043688446,-0.0210027400708839
-0.0156160306145397,-0.0201316013398293
-0.0155564738537923,-0.0204612704868726
-0.0163346284971095,-0.0203297905437074
-0.0156157015426948,-0.0199576081427236
-0.0157082851067318,-0.020371080600168
-0.016881675472706,-0.0216063598150387
-0.0168181252914845,-0.0218199140458129
-0.0184262360149812,-0.0224470811234048
-0.0170621440750807,-0.0215889633048448
-0.0160977879739637,-0.0204888020882002
-0.0182822104879745,-0.0224432674913402
-0.0176591121688337,-0.0220013683270198
-0.0168298947524016,-0.0211600382109082
-0.0156820413286469,-0.0202284969239823
-0.0154225866070658,-0.0201734180908429
-0.0148877761143404,-0.0191964981293165
-0.0150200155975281,-0.0188122012071271
-0.0143274688628338,-0.0181922124852969
-0.0136291431271458,-0.0177149778360472
-0.0129459015794101,-0.0167857741070546
-0.0127601495848843,-0.0163536114214446
-0.0122811792980532,-0.0161424589465123
-0.0128743044246385,-0.0173677831813794
-0.014077623166094,-0.0175856274010554
-0.0138893996214306,-0.0179035862560723
-0.0140770729927288,-0.0179188797287342
-0.0158068155583685,-0.0212877282565189
-0.0154772981764585,-0.019993124705321
-0.0163415171364216,-0.0202515718274532
-0.0153953049606188,-0.0198751598875702
-0.0149175191842648,-0.0196155351119522
-0.0145801605783812,-0.0186685100907534
-0.0141914719594335,-0.0180135422489102
-0.0135410002495491,-0.0177007172482226
-0.0129475666013238,-0.0169906273634473
-0.012810189119341,-0.0170994535794815
-0.0129955357251474,-0.0171623522094466
-0.0140600067174882,-0.0189104328814138
-0.0144215030966637,-0.0188514346307638
-0.01421784851196,-0.0181251920615774
-0.0140196232827677,-0.018492907478816
-0.0134887572633405,-0.0174111953063412
-0.0131024904889295,-0.0168947908111995
-0.0126776587608458,-0.0166160502256652
-0.0124037745190387,-0.0160148417999476
-0.0140492729370993,-0.0173773301095276
-0.0130810167148772,-0.0169744163070311
-0.0154198730368764,-0.020710520031411
-0.0151615869166524,-0.0195152628035344
-0.0155819656075158,-0.0204846391477284
-0.01644613330039,-0.020995581594384
-0.0161604004979811,-0.0205182812385716
-0.0170290571914424,-0.0217535801482878
-0.0175734903745599,-0.0226896798383322
-0.0170874949351677,-0.0213849069491764
-0.0167599848327906,-0.0215348309596713
-0.0162491460134083,-0.0204211022133041
